id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
134954,"Сыр плавленый Hochland Чизбургер 45%, 150г",products/plavlenyj-hochland-chizburger-45-150g-bzmzh,131,,HOCHLAND
134952,"Сыр плавленый Hochland сливочный 55%, 200г",products/plavlennyj-hochland-slivochnyj-55-200g-bzmzh,169,129,HOCHLAND
134940,"Сыр плавленый Hochland сливочный 55%, 400г",products/plavlennyj-hochland-slivochnyj-55-400g-bzmzh,289,279,HOCHLAND
132378,"Сыр Карат Дружба плавленый 55%, 90г",products/syr-plavlennyy-45-karat-druzhba-brusok-400g-bzmzh,,39.90,КАРАТ
254050,"Сыр плавленый President сливочный, 400г",products/president-slivochnyj-400-g-bzmzh,296,,PRESIDENT
134941,"Сыр плавленый Hochland с грибами 55%, 400г",products/plavlennyj-hochland-s-gribami-55-400g-bzmzh,289,279,HOCHLAND
134943,"Сыр плавленый Hochland с ветчиной 55%, 200г",products/plavlennyj-hochland-s-vetchinoj-55-200g-bzmzh,169,129,HOCHLAND
134939,"Сыр плавленый Hochland с ветчиной 55%, 400г",products/plavlennyj-hochland-s-vetchinoj-55-400g-bzmzh,289,279,HOCHLAND
90740,"Сыр плавленый Viola Чеддер 60%, 140г",products/slivochnyj-valio-viola-chetyre-60-140g-bzmzh,119,94.90,VIOLA
534752,"Сыр плавленый Hochland со Швейцарским сыром, 200г",products/hochland-so-shvejcarskim-200g-bzmzh,169,129,HOCHLAND
522268,"Сыр плавленый Viola сливочный 50%, 400г",products/valio-viola-400-g-bzmzh,339,,VIOLA
132380,"Сыр плавленый Карат для супа с луком 45%, 90г",products/syr-plavlennyy-45-dlya-supa-s-lukom-90g-bzmzh,45.99,41.90,КАРАТ
458371,"Сыр Город сыра копченый колбасный 40%, 150г",products/kolbasnyj-kopchenyj-gorod-150g-bzmzh,130,,ГОРОД СЫРА
576012,"Сыр плавленый Viola сливочный, 140г",products/viola-slivochnyj-140g-bzmzh,119,94.90,VIOLA
531397,"Сыр плавленый Карат шоколадный 30%, 230г",products/karat-shokoladnyj-30-230-g-bzmzh,145,,КАРАТ
134944,"Сыр плавленый Hochland с грибами 55%, 200г",products/plavlennyj-hochland-s-gribami-55-200g-bzmzh,169,129,HOCHLAND
88248,"Сыр плавленый President Бри 45%, 200г",products/art_88248,165,139,PRESIDENT
622810,"Сыр President Чеддер плавленый ломтики 40%, 150г",products/president-chedder-40-lomtikami-150g-bzmzh,138,,PRESIDENT
385715,"Сыр плавленый Viola Финское избранное, 130г",products/viola-slivochnyj-finskoe-izbrannoe-130g-bzmzh,98.90,94.90,VIOLA
88183,"Сыр плавленый Карат сливочный 45%, 200г",products/art_88183,120,94.90,КАРАТ
666475,"Сыр плавленый Viola 4 сыра 45%, 180г",products/slivochnyj-viola-4-doj-pak-45-180g-mdzh,159,119,VIOLA
132383,"Сыр плавленый 45% Карат дружба, 400г",products/syr-plavlennyy-45-karat-druzhba-400g-bzmzh,227,,КАРАТ
666473,"Сыр плавленый Viola Четыре сыра в ломтиках 45%, 140г",products/viola-slivochnyj-45-lomtiki-140g,119,94.90,VIOLA
622806,"Сыр President Чизбургер плавленый ломтики 40%, 150г",products/president-chizburger-40-lomtikami-150g-bzmzh,138,,PRESIDENT
666474,"Сыр плавленый Viola сливочный 45%, 180г",products/slivochnyj-viola-doj-pak-45-180g-mdzh,159,119,VIOLA
132381,"Сыр плавленый Карат для супа с грибами 45%, 90г",products/syr-plavlennyy-45-dlya-supa-s-gribami-90g-bzmzh,45.99,41.90,КАРАТ
663845,"Сыр President Крем де Блю, 125г",products/president-creme-de-bleu-125g-bzmzh,207,139,PRESIDENT
134953,"Сыр плавленый Hochland Сэндвич 45%, 150г",products/plavlenyj-hochland-sendvich-45-150g-bzmzh,131,,HOCHLAND
116686,"Сыр плавленый Карат с зеленью 45%, 90г",products/karat-s-zelenyu-45-90-g-bzmzh,45.99,42.99,КАРАТ
663844,"Сыр плавленый President Creme De Camembert, 125г",products/president-creme-de-camembert-125g-bzmzh,207,139,PRESIDENT
385716,"Сыр плавленый Viola Итальянское избранное, 130г",products/viola-slivochnyj-italyanskoe-izbrannoe-130g-bzmzh,99.90,94.90,VIOLA
